"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-07-24T09:51:56.759Z[Etc/UTC]","0.0","0.12"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-07-24T09:51:56.949Z[Etc/UTC]","0.0","0.02"
"Add Batch Orders Feature","Add Batch Orders action","SUCCESS","2023-07-24T09:51:57.024Z[Etc/UTC]","0.0","23.47"
"Add Order","Order Number","SUCCESS","2023-07-24T09:52:32.63Z[Etc/UTC]","0.0","38.95"
"Add Order","Request and Received Date","SUCCESS","2023-07-24T09:53:11.637Z[Etc/UTC]","0.0","21.09"
"Add Order","Reception Time","SUCCESS","2023-07-24T09:53:32.78Z[Etc/UTC]","0.0","29.22"
"Add Order","Site Name","SUCCESS","2023-07-24T09:54:02.038Z[Etc/UTC]","0.0","9.68"
"Add Order","Requester's Name","SUCCESS","2023-07-24T09:54:11.762Z[Etc/UTC]","0.0","14.27"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-07-24T09:54:26.069Z[Etc/UTC]","0.0","33.26"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-07-24T09:54:59.365Z[Etc/UTC]","0.0","9.54"
"Add Order","Add samples","SUCCESS","2023-07-24T09:55:08.95Z[Etc/UTC]","0.0","12.85"
"Add Order","Collection Date","SUCCESS","2023-07-24T09:55:21.836Z[Etc/UTC]","0.0","32.44"
"Add Order","Collection Time","SUCCESS","2023-07-24T09:55:54.313Z[Etc/UTC]","0.0","34.25"
"Add Order","Collector","SUCCESS","2023-07-24T09:56:28.602Z[Etc/UTC]","0.0","10.45"
"Add Order","Available Tests and Panels","SUCCESS","2023-07-24T09:56:39.084Z[Etc/UTC]","0.0","18.23"
"Add Order","Patient Search","SUCCESS","2023-07-24T09:56:57.362Z[Etc/UTC]","0.0","15.17"
"Add Order","Patient Information","SUCCESS","2023-07-24T09:57:12.579Z[Etc/UTC]","0.0","144.55"
"Add Order","Overall Page","SUCCESS","2023-07-24T09:59:37.163Z[Etc/UTC]","0.0","36.5"
"Configurable Items Feature","Order Entry Configuration","SUCCESS","2023-07-24T10:00:13.695Z[Etc/UTC]","0.0","7.89"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-07-24T10:00:21.621Z[Etc/UTC]","0.0","17.06"
"Modify Order","Order Search","SUCCESS","2023-07-24T10:00:38.718Z[Etc/UTC]","0.0","32.75"
"Modify Order","Order Information","SUCCESS","2023-07-24T10:01:11.506Z[Etc/UTC]","0.0","39.83"
