"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-02-24T12:48:49.153Z[Etc/UTC]","0.0","0.11"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-02-24T12:48:49.336Z[Etc/UTC]","0.0","0.03"
"Add Batch Orders Feature","Add Batch Orders action","ERROR","2023-02-24T12:48:49.413Z[Etc/UTC]","0.0","15.0"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-02-24T12:49:04.448Z[Etc/UTC]","0.0","13.49"
"Add Order","Order Number","SUCCESS","2023-02-24T12:49:17.989Z[Etc/UTC]","0.0","18.59"
"Add Order","Request and Received Date","SUCCESS","2023-02-24T12:49:36.611Z[Etc/UTC]","0.0","17.41"
"Add Order","Reception Time","SUCCESS","2023-02-24T12:49:54.059Z[Etc/UTC]","0.0","28.99"
"Add Order","Site Name","SUCCESS","2023-02-24T12:50:23.083Z[Etc/UTC]","0.0","10.14"
"Add Order","Requester's Name","SUCCESS","2023-02-24T12:50:33.256Z[Etc/UTC]","0.0","13.25"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-24T12:50:46.536Z[Etc/UTC]","0.0","32.19"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-24T12:51:18.756Z[Etc/UTC]","0.0","9.51"
"Add Order","Add samples","SUCCESS","2023-02-24T12:51:28.303Z[Etc/UTC]","0.0","9.56"
"Add Order","Collection Date","SUCCESS","2023-02-24T12:51:37.903Z[Etc/UTC]","0.0","33.06"
"Add Order","Collection Time","SUCCESS","2023-02-24T12:52:10.993Z[Etc/UTC]","0.0","33.46"
"Add Order","Collector","SUCCESS","2023-02-24T12:52:44.496Z[Etc/UTC]","0.0","9.99"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-24T12:52:54.519Z[Etc/UTC]","0.0","17.67"
"Add Order","Patient Search","SUCCESS","2023-02-24T12:53:12.22Z[Etc/UTC]","0.0","14.71"
"Add Order","Patient Information","SUCCESS","2023-02-24T12:53:26.965Z[Etc/UTC]","0.0","142.59"
"Add Order","Overall Page","SUCCESS","2023-02-24T12:55:49.579Z[Etc/UTC]","0.0","36.08"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-02-24T12:56:25.692Z[Etc/UTC]","0.0","17.05"
"Modify Order","Order Search","SUCCESS","2023-02-24T12:56:42.772Z[Etc/UTC]","0.0","34.75"
"Modify Order","Order Information","SUCCESS","2023-02-24T12:57:17.551Z[Etc/UTC]","0.0","40.33"
